customer_id,full_name,email,phone,gender,age,city,state,tier,region,signup_date,preferred_language
C00001,Pankaj Shah,pankaj.shah90@yahoo.com,910310303723,Male,58.00,Ahmedabad,Gujarat,Tier 1,West,11/9/2021,Marathi
C00002,Deepika Kapoor,deepika.kapoor475@yahoo.com,916012277707,Female,30.00,Mysuru,Karnataka,Tier 3,South,4/25/2024,Kannada
C00003,Harish Shah,harish.shah342@yahoo.com,916679984076,Male,55.00,Guwahati,Assam,Tier 2,East,4/14/2020,English
C00004,Komal Trivedi,komal.trivedi732@yahoo.com,910695814671,Male,59.00,Coimbatore,Tamil Nadu,Tier 2,South,4/19/2021,Kannada
C00005,Vikas Jain,vikas.jain166@yahoo.com,913757383959,Female,63.00,Hyderabad,Telangana,Tier 1,South,12/2/2020,Malayalam
C00006,Gaurav Malhotra,gaurav.malhotra729@gmail.com,916572934172,Male,28.00,Hyderabad,Telangana,Tier 1,South,1/20/2024,English
C00007,Arun Joshi,arun.joshi426@gmail.com,917433800545,Unknown,29.00,Delhi,Delhi,Tier 1,North,6/13/2024,Hindi
C00008,Arjun Tiwari,arjun.tiwari117@gmail.com,911837455084,Female,62.00,Nashik,Maharashtra,Tier 3,West,5/31/2022,Gujarati
C00009,Reena Kumar,reena.kumar819@gmail.com,911199180812,Female,31.00,Coimbatore,Tamil Nadu,Tier 2,South,6/15/2022,Kannada
C00010,Kavya Malhotra,kavya.malhotra453@gmail.com,917125521376,Unknown,18.00,Bhubaneswar,Odisha,Tier 2,East,12/21/2023,Bengali
C00011,Zara Tiwari,zara.tiwari518@yahoo.com,914565328632,Female,44.00,Mumbai,Maharashtra,Tier 1,West,10/8/2021,English
C00012,Vinay Dutta,vinay.dutta699@gmail.com,910720811556,Other,28.00,Ranchi,Jharkhand,Tier 3,East,6/15/2024,Hindi
C00013,Ananya Shah,ananya.shah38@gmail.com,912908466845,Unknown,18.00,Jodhpur,Rajasthan,Tier 3,North,3/4/2024,English
C00014,Chetan Pillai,chetan.pillai414@gmail.com,913899756341,Male,39.00,Chennai,Tamil Nadu,Tier 1,South,5/12/2023,Malayalam
C00015,Sumit Reddy,sumit.reddy554@yahoo.com,911884852008,Female,33.00,Hyderabad,Telangana,Tier 1,South,1/12/2022,Kannada
C00016,Sumit Jain,sumit.jain114@gmail.com,915485101749,Female,47.00,Hyderabad,Telangana,Tier 1,South,10/31/2022,Kannada
C00017,Nikhil Bose,nikhil.bose307@yahoo.com,919268315893,Female,41.00,Pune,Maharashtra,Tier 1,West,12/18/2021,English
C00018,Dhruv Pillai,dhruv.pillai436@gmail.com,911106273715,Unknown,43.00,Indore,Madhya Pradesh,Tier 2,North,12/28/2023,English
C00019,Pooja Trivedi,pooja.trivedi434@gmail.com,917622827728,Female,25.00,Lucknow,Uttar Pradesh,Tier 2,North,7/27/2023,Hindi
C00020,Vinay Pandey,vinay.pandey765@yahoo.com,918519611594,Male,27.00,Kolkata,West Bengal,Tier 1,East,7/3/2020,Bengali
C00021,Shreya Kapoor,shreya.kapoor311@yahoo.com,910229604432,Female,49.00,Kochi,Kerala,Tier 2,South,5/2/2022,Tamil
C00022,Divya Verma,divya.verma892@yahoo.com,917949756792,Female,50.00,Bengaluru,Karnataka,Tier 1,South,5/18/2020,Malayalam
C00023,Uma Khanna,uma.khanna460@yahoo.com,915199663658,Male,60.00,Kolkata,West Bengal,Tier 1,East,9/28/2023,Hindi
C00024,Tejas Ghosh,tejas.ghosh91@gmail.com,910948181398,Female,21.00,Ahmedabad,Gujarat,Tier 1,West,8/15/2023,Marathi
C00025,Uma Pandey,uma.pandey919@yahoo.com,918204339718,Female,43.00,Lucknow,Uttar Pradesh,Tier 2,North,10/26/2022,Hindi
C00026,Arun Patel,arun.patel448@yahoo.com,910856411182,Male,29.00,Agra,Uttar Pradesh,Tier 3,North,11/27/2021,English
C00027,Yash Mehta,yash.mehta315@gmail.com,912095200461,Male,44.00,Hyderabad,Telangana,Tier 1,South,11/11/2020,Kannada
C00028,Pooja Chaudhary,pooja.chaudhary54@yahoo.com,919937886140,Male,53.00,Nagpur,Maharashtra,Tier 2,West,4/9/2020,English
C00029,Arjun Pandey,arjun.pandey418@gmail.com,910489138249,Male,23.00,Coimbatore,Tamil Nadu,Tier 2,South,2/29/2020,English
C00030,Meera Pillai,meera.pillai554@gmail.com,913868700794,Unknown,28.00,Mumbai,Maharashtra,Tier 1,West,3/2/2022,Gujarati
C00031,Ananya Pandey,ananya.pandey613@yahoo.com,916539840289,Male,23.00,Coimbatore,Tamil Nadu,Tier 2,South,7/13/2021,Malayalam
C00032,Pankaj Nair,pankaj.nair743@gmail.com,914639855474,Male,38.00,Hyderabad,Telangana,Tier 1,South,10/13/2020,Kannada
C00033,Meera Mishra,meera.mishra337@yahoo.com,912097002687,Female,52.00,Delhi,Delhi,Tier 1,North,12/5/2023,Hindi
C00034,Mohan Gupta,mohan.gupta32@gmail.com,917156956201,Unknown,30.00,Mysuru,Karnataka,Tier 3,South,8/1/2023,Malayalam
C00035,Aarav Bose,aarav.bose21@gmail.com,915319433750,Male,63.00,Ranchi,Jharkhand,Tier 3,East,1/3/2024,English
C00036,Jatin Agarwal,jatin.agarwal201@gmail.com,916149872839,Female,56.00,Meerut,Uttar Pradesh,Tier 3,North,1/15/2020,Hindi
C00037,Arjun Reddy,arjun.reddy67@yahoo.com,919384308948,Unknown,18.00,Pune,Maharashtra,Tier 1,West,7/3/2024,English
C00038,Mohan Kumar,mohan.kumar443@gmail.com,916418775803,Male,44.00,Delhi,Delhi,Tier 1,North,10/23/2021,English
C00039,Riya Sharma,riya.sharma200@gmail.com,919036133254,Male,58.00,Patna,Bihar,Tier 2,East,3/13/2022,Bengali
C00040,Aditi Pandey,aditi.pandey828@yahoo.com,915431735058,Female,22.00,Lucknow,Uttar Pradesh,Tier 2,North,3/6/2022,English
C00041,Uma Joshi,uma.joshi458@gmail.com,911006512070,Male,58.00,Bengaluru,Karnataka,Tier 1,South,4/7/2023,Malayalam
C00042,Arjun Joshi,arjun.joshi58@gmail.com,914661963990,Male,47.00,Nagpur,Maharashtra,Tier 2,West,10/19/2023,English
C00043,Komal Joshi,komal.joshi667@gmail.com,910785931109,Unknown,,Mumbai,Maharashtra,Tier 1,West,11/26/2021,Marathi
C00044,Harish Reddy,harish.reddy522@yahoo.com,916797232002,Male,45.00,Madurai,Tamil Nadu,Tier 3,South,7/29/2023,English
C00045,Mohan Verma,mohan.verma598@gmail.com,912274954508,Female,61.00,Kolkata,West Bengal,Tier 1,East,9/29/2021,Bengali
C00046,Ananya Chatterjee,ananya.chatterjee839@gmail.com,910653331537,Female,47.00,Visakhapatnam,Andhra Pradesh,Tier 2,South,4/11/2022,English
C00047,Pankaj Tiwari,pankaj.tiwari580@gmail.com,919465217073,Female,58.00,Pune,Maharashtra,Tier 1,West,3/30/2023,Marathi
C00048,Pankaj Bose,pankaj.bose639@yahoo.com,917563620501,Male,53.00,Indore,Madhya Pradesh,Tier 2,North,8/13/2022,Hindi
C00049,Ishaan Malhotra,ishaan.malhotra200@gmail.com,915003342342,Male,53.00,Indore,Madhya Pradesh,Tier 2,North,6/20/2022,Hindi
C00050,Kiran Menon,kiran.menon181@gmail.com,911026153473,Male,41.00,Hyderabad,Telangana,Tier 1,South,2/14/2020,Telugu
C00051,Chetan Jain,chetan.jain67@yahoo.com,912338655963,Female,57.00,Ranchi,Jharkhand,Tier 3,East,12/27/2023,English
C00052,Manish Malhotra,manish.malhotra153@gmail.com,910428973179,Male,50.00,Varanasi,Uttar Pradesh,Tier 3,North,5/6/2024,English
C00053,Uma Shukla,uma.shukla511@gmail.com,912558777496,Female,55.00,Tiruchirappalli,Tamil Nadu,Tier 3,South,5/2/2022,Tamil
C00054,Meera Bose,meera.bose463@gmail.com,916346692548,Male,23.00,Aurangabad,Maharashtra,Tier 3,West,2/19/2021,Hindi
C00055,Vikas Dutta,vikas.dutta236@gmail.com,917895677665,Female,38.00,Coimbatore,Tamil Nadu,Tier 2,South,12/21/2021,Kannada
C00056,Suresh Patel,suresh.patel453@yahoo.com,911514888143,Male,22.00,Tiruchirappalli,Tamil Nadu,Tier 3,South,2/1/2021,Kannada
C00057,Akash Menon,akash.menon202@gmail.com,914443928404,Male,40.00,Delhi,Delhi,Tier 1,North,11/14/2021,English
C00058,Tanvi Sharma,tanvi.sharma670@gmail.com,912633373898,Female,64.00,Hyderabad,Telangana,Tier 1,South,8/24/2022,Malayalam
C00059,Rohit Mehta,rohit.mehta867@yahoo.com,916377805292,Male,65.00,Mumbai,Maharashtra,Tier 1,West,3/10/2021,Gujarati
C00060,Arun Verma,arun.verma231@gmail.com,916845909022,Other,39.00,Pune,Maharashtra,Tier 1,West,11/26/2021,English
C00061,Suresh Agarwal,suresh.agarwal66@gmail.com,913715974121,Female,29.00,Ahmedabad,Gujarat,Tier 1,West,11/3/2022,Gujarati
C00062,Pankaj Trivedi,pankaj.trivedi192@yahoo.com,916433481705,Male,28.00,Kolkata,West Bengal,Tier 1,East,2/24/2020,Hindi
C00063,Varun Shah,varun.shah114@yahoo.com,916716323467,Male,54.00,Jodhpur,Rajasthan,Tier 3,North,11/17/2020,English
C00064,Isha Menon,isha.menon734@gmail.com,914302716938,Male,,Ahmedabad,Gujarat,Tier 1,West,10/26/2022,English
C00065,Vinay Mishra,vinay.mishra41@gmail.com,914754692632,Female,64.00,Kolkata,West Bengal,Tier 1,East,3/25/2023,Hindi
C00066,Vinay Chaudhary,vinay.chaudhary188@gmail.com,911603248413,Female,44.00,Indore,Madhya Pradesh,Tier 2,North,11/9/2023,Hindi
C00067,Shreya Gupta,shreya.gupta108@gmail.com,915672438070,Male,62.00,Bengaluru,Karnataka,Tier 1,South,3/27/2024,Malayalam
C00068,Suresh Tiwari,suresh.tiwari409@gmail.com,916004125777,Male,53.00,Meerut,Uttar Pradesh,Tier 3,North,7/3/2024,Hindi
C00069,Reena Khanna,reena.khanna483@gmail.com,912209124186,Male,60.00,Delhi,Delhi,Tier 1,North,10/14/2020,Hindi
C00070,Omkar Ghosh,omkar.ghosh452@gmail.com,913083708164,Male,56.00,Siliguri,West Bengal,Tier 3,East,10/11/2020,Bengali
C00071,Ananya Chaudhary,ananya.chaudhary207@gmail.com,915331060053,Female,22.00,Varanasi,Uttar Pradesh,Tier 3,North,4/20/2024,Hindi
C00072,Dhruv Rao,dhruv.rao172@yahoo.com,918155839386,Unknown,25.00,Hyderabad,Telangana,Tier 1,South,1/22/2024,Telugu
C00073,Meera Joshi,meera.joshi332@yahoo.com,916506373149,Male,22.00,Mumbai,Maharashtra,Tier 1,West,12/31/2021,Marathi
C00074,Varun Kapoor,varun.kapoor614@gmail.com,911892419562,Male,58.00,Meerut,Uttar Pradesh,Tier 3,North,4/20/2024,English
C00075,Nandini Pandey,nandini.pandey344@yahoo.com,919768389030,Female,25.00,Bhubaneswar,Odisha,Tier 2,East,5/18/2020,Hindi
C00076,Nikhil Jain,nikhil.jain250@gmail.com,910257432630,Male,64.00,Bhubaneswar,Odisha,Tier 2,East,3/30/2024,English
C00077,Vikas Tiwari,vikas.tiwari285@gmail.com,910864035533,Female,60.00,Varanasi,Uttar Pradesh,Tier 3,North,1/10/2020,Hindi
C00078,Omkar Bose,omkar.bose894@gmail.com,915270171302,Female,26.00,Delhi,Delhi,Tier 1,North,5/30/2023,Hindi
C00079,Kiran Agarwal,kiran.agarwal520@yahoo.com,917423362934,Male,46.00,Ahmedabad,Gujarat,Tier 1,West,4/28/2021,Marathi
C00080,Priya Pandey,priya.pandey974@gmail.com,916627768962,Female,48.00,Bengaluru,Karnataka,Tier 1,South,12/6/2020,Tamil
C00081,Uma Chaudhary,uma.chaudhary875@yahoo.com,914982824674,Male,42.00,Nashik,Maharashtra,Tier 3,West,5/25/2022,English
C00082,Arjun Tiwari,arjun.tiwari733@gmail.com,912300857666,Other,41.00,Kochi,Kerala,Tier 2,South,6/10/2020,Malayalam
